ROWNUMBER,ERRORMESSAGE,Item Name,SKU,HSN/SAC,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Inter State Tax Name,Inter State Tax Type,Inter State Tax Rate,Intra State Tax Name,Intra State Tax Type,Intra State Tax Rate,Taxability Type,Exemption Reason,Warehouse Name
38,Row already exists,Shell Jewelry,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
86,This error is related to Row 295 - Item Name.,Coir Mats,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
90,Row already exists,Bamboo Baskets,,,,500,,,,,,,,goods,,,,500,,,,,,,,,,,,,,,,,,,,,,
106,This error is related to Row 339 - Item Name.,Bamboo Lamps,,,,1200,,,,,,,,goods,,,,1200,,,,,,,,,,,,,,,,,,,,,,
153,Row already exists,Cane Baskets,,,,500,,,,,,,,goods,,,,500,,,,,,,,,,,,,,,,,,,,,,
210,Row already exists,Tribal Necklaces,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
247,Row already exists,Bangles,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
252,This error is related to Row 357 - Item Name.,Mini Furniture,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
264,This error is related to Row 378 - Item Name.,Cane Tables,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
295,Warehouse name cannot be left empty.,Coir Mats,,,,999,,,,,,,,goods,,,,999,,,,,,,,,,,,,,,,,,,,,,
297,This error is related to Row 387 - Item Name.,Mini Toys,,,,300,,,,,,,,goods,,,,300,,,,,,,,,,,,,,,,,,,,,,
339,Warehouse name cannot be left empty.,Bamboo Lamps,,,,1200,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,
354,Row already exists,Lac Toys,,,,300,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,
357,Warehouse name cannot be left empty.,Mini Furniture,,,,999,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,
377,Row already exists,Cane Chairs,,,,999,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,
378,Warehouse name cannot be left empty.,Cane Tables,,,,999,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,
382,Row already exists,Stone Idols,,,,600,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,
387,Warehouse name cannot be left empty.,Mini Toys,,,,300,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,
389,Invalid value passed for Item Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
